"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","gender"
"28802","Native","Native Native 1",24,"spillover2","tt","spillover2 tt",4,0,323,323,"Unambiguous","Mismatch"
"28804","Native","Native Native 1",12,"spillover2","tt","spillover2 tt",4,0,2377,2377,"Unambiguous","Mismatch"
"28806","Native","Native Native 1",6,"spillover2","tt","spillover2 tt",2,0,371,371,"Ambiguous","Mismatch"
"28808","Native","Native Native 1",7,"spillover2","tt","spillover2 tt",3,0,880,880,"Unambiguous","Match"
"28810","Native","Native Native 1",14,"spillover2","tt","spillover2 tt",2,0,644,644,"Ambiguous","Mismatch"
"28812","Native","Native Native 1",21,"spillover2","tt","spillover2 tt",1,0,1024,1024,"Ambiguous","Match"
"28814","Native","Native Native 1",19,"spillover2","tt","spillover2 tt",3,0,511,511,"Unambiguous","Match"
"28816","Native","Native Native 1",17,"spillover2","tt","spillover2 tt",1,0,648,648,"Ambiguous","Match"
"28818","Native","Native Native 1",10,"spillover2","tt","spillover2 tt",2,0,1453,1453,"Ambiguous","Mismatch"
"28820","Native","Native Native 1",23,"spillover2","tt","spillover2 tt",3,0,609,609,"Unambiguous","Match"
"28822","Native","Native Native 1",15,"spillover2","tt","spillover2 tt",3,0,578,578,"Unambiguous","Match"
"28824","Native","Native Native 1",1,"spillover2","tt","spillover2 tt",1,0,593,593,"Ambiguous","Match"
"28826","Native","Native Native 1",2,"spillover2","tt","spillover2 tt",2,0,543,543,"Ambiguous","Mismatch"
"28828","Native","Native Native 1",5,"spillover2","tt","spillover2 tt",1,0,515,515,"Ambiguous","Match"
"28830","Native","Native Native 1",16,"spillover2","tt","spillover2 tt",4,0,998,998,"Unambiguous","Mismatch"
"28832","Native","Native Native 1",3,"spillover2","tt","spillover2 tt",3,0,760,760,"Unambiguous","Match"
"28834","Native","Native Native 1",13,"spillover2","tt","spillover2 tt",1,0,1537,1537,"Ambiguous","Match"
"28836","Native","Native Native 1",11,"spillover2","tt","spillover2 tt",3,0,695,695,"Unambiguous","Match"
"28838","Native","Native Native 1",9,"spillover2","tt","spillover2 tt",1,0,1228,1228,"Ambiguous","Match"
"28840","Native","Native Native 1",8,"spillover2","tt","spillover2 tt",4,0,1682,1682,"Unambiguous","Mismatch"
"28842","Native","Native Native 1",4,"spillover2","tt","spillover2 tt",4,0,973,973,"Unambiguous","Mismatch"
"28844","Native","Native Native 1",20,"spillover2","tt","spillover2 tt",4,0,1754,1754,"Unambiguous","Mismatch"
"28846","Native","Native Native 1",18,"spillover2","tt","spillover2 tt",2,0,467,467,"Ambiguous","Mismatch"
"28848","Native","Native Native 1",22,"spillover2","tt","spillover2 tt",2,0,1056,1056,"Ambiguous","Mismatch"
"28850","Native","Native Native 2",14,"spillover2","tt","spillover2 tt",3,0,301,301,"Unambiguous","Match"
"28852","Native","Native Native 2",4,"spillover2","tt","spillover2 tt",1,0,431,431,"Ambiguous","Match"
"28854","Native","Native Native 2",19,"spillover2","tt","spillover2 tt",4,0,566,566,"Unambiguous","Mismatch"
"28856","Native","Native Native 2",1,"spillover2","tt","spillover2 tt",2,0,421,421,"Ambiguous","Mismatch"
"28858","Native","Native Native 2",5,"spillover2","tt","spillover2 tt",2,0,952,952,"Ambiguous","Mismatch"
"28860","Native","Native Native 2",15,"spillover2","tt","spillover2 tt",4,0,122,122,"Unambiguous","Mismatch"
"28862","Native","Native Native 2",7,"spillover2","tt","spillover2 tt",4,0,251,251,"Unambiguous","Mismatch"
"28864","Native","Native Native 2",18,"spillover2","tt","spillover2 tt",3,0,273,273,"Unambiguous","Match"
"28866","Native","Native Native 2",6,"spillover2","tt","spillover2 tt",3,0,439,439,"Unambiguous","Match"
"28868","Native","Native Native 2",22,"spillover2","tt","spillover2 tt",3,0,622,622,"Unambiguous","Match"
"28870","Native","Native Native 2",10,"spillover2","tt","spillover2 tt",3,0,311,311,"Unambiguous","Match"
"28872","Native","Native Native 2",8,"spillover2","tt","spillover2 tt",1,0,201,201,"Ambiguous","Match"
"28874","Native","Native Native 2",24,"spillover2","tt","spillover2 tt",1,0,125,125,"Ambiguous","Match"
"28876","Native","Native Native 2",17,"spillover2","tt","spillover2 tt",2,0,447,447,"Ambiguous","Mismatch"
"28878","Native","Native Native 2",2,"spillover2","tt","spillover2 tt",3,0,301,301,"Unambiguous","Match"
"28880","Native","Native Native 2",11,"spillover2","tt","spillover2 tt",4,0,282,282,"Unambiguous","Mismatch"
"28882","Native","Native Native 2",3,"spillover2","tt","spillover2 tt",4,0,328,328,"Unambiguous","Mismatch"
"28884","Native","Native Native 2",21,"spillover2","tt","spillover2 tt",2,0,124,124,"Ambiguous","Mismatch"
"28886","Native","Native Native 2",20,"spillover2","tt","spillover2 tt",1,0,197,197,"Ambiguous","Match"
"28888","Native","Native Native 2",16,"spillover2","tt","spillover2 tt",1,1,0,NA,"Ambiguous","Match"
"28890","Native","Native Native 2",13,"spillover2","tt","spillover2 tt",2,0,198,198,"Ambiguous","Mismatch"
"28892","Native","Native Native 2",9,"spillover2","tt","spillover2 tt",2,0,807,807,"Ambiguous","Mismatch"
"28894","Native","Native Native 2",12,"spillover2","tt","spillover2 tt",1,0,304,304,"Ambiguous","Match"
"28896","Native","Native Native 2",23,"spillover2","tt","spillover2 tt",4,0,531,531,"Unambiguous","Mismatch"
"28897","Native","Native Native 3",11,"spillover2","tt","spillover2 tt",1,0,446,446,"Ambiguous","Match"
"28899","Native","Native Native 3",21,"spillover2","tt","spillover2 tt",3,0,802,802,"Unambiguous","Match"
"28901","Native","Native Native 3",2,"spillover2","tt","spillover2 tt",4,0,3246,3246,"Unambiguous","Mismatch"
"28903","Native","Native Native 3",20,"spillover2","tt","spillover2 tt",2,0,1112,1112,"Ambiguous","Mismatch"
"28905","Native","Native Native 3",9,"spillover2","tt","spillover2 tt",3,0,869,869,"Unambiguous","Match"
"28907","Native","Native Native 3",4,"spillover2","tt","spillover2 tt",2,0,1338,1338,"Ambiguous","Mismatch"
"28909","Native","Native Native 3",3,"spillover2","tt","spillover2 tt",1,0,583,583,"Ambiguous","Match"
"28911","Native","Native Native 3",1,"spillover2","tt","spillover2 tt",3,0,848,848,"Unambiguous","Match"
"28913","Native","Native Native 3",13,"spillover2","tt","spillover2 tt",3,0,535,535,"Unambiguous","Match"
"28915","Native","Native Native 3",18,"spillover2","tt","spillover2 tt",4,0,376,376,"Unambiguous","Mismatch"
"28917","Native","Native Native 3",7,"spillover2","tt","spillover2 tt",1,0,846,846,"Ambiguous","Match"
"28919","Native","Native Native 3",5,"spillover2","tt","spillover2 tt",3,0,829,829,"Unambiguous","Match"
"28921","Native","Native Native 3",15,"spillover2","tt","spillover2 tt",1,0,518,518,"Ambiguous","Match"
"28923","Native","Native Native 3",16,"spillover2","tt","spillover2 tt",2,0,493,493,"Ambiguous","Mismatch"
"28925","Native","Native Native 3",8,"spillover2","tt","spillover2 tt",2,0,1268,1268,"Ambiguous","Mismatch"
"28927","Native","Native Native 3",22,"spillover2","tt","spillover2 tt",4,0,2234,2234,"Unambiguous","Mismatch"
"28929","Native","Native Native 3",17,"spillover2","tt","spillover2 tt",3,0,473,473,"Unambiguous","Match"
