"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation"
"24961","Native","Native Native 1",38,"spillover1","tt","spillover1 tt",6,0,1072,1072,"Unambiguous","Consistent"
"24963","Native","Native Native 1",39,"spillover1","tt","spillover1 tt",7,0,2360,2360,"Ambiguous","Inconsistent"
"24965","Native","Native Native 1",26,"spillover1","tt","spillover1 tt",6,0,707,707,"Unambiguous","Consistent"
"24967","Native","Native Native 1",34,"spillover1","tt","spillover1 tt",6,0,784,784,"Unambiguous","Consistent"
"24969","Native","Native Native 1",46,"spillover1","tt","spillover1 tt",6,0,688,688,"Unambiguous","Consistent"
"24971","Native","Native Native 1",29,"spillover1","tt","spillover1 tt",5,0,798,798,"Ambiguous","Consistent"
"24973","Native","Native Native 1",36,"spillover1","tt","spillover1 tt",8,0,1267,1267,"Unambiguous","Inconsistent"
"24975","Native","Native Native 1",30,"spillover1","tt","spillover1 tt",6,0,901,901,"Unambiguous","Consistent"
"24977","Native","Native Native 1",40,"spillover1","tt","spillover1 tt",8,0,813,813,"Unambiguous","Inconsistent"
"24979","Native","Native Native 1",33,"spillover1","tt","spillover1 tt",5,0,1692,1692,"Ambiguous","Consistent"
"24981","Native","Native Native 1",43,"spillover1","tt","spillover1 tt",7,0,1520,1520,"Ambiguous","Inconsistent"
"24983","Native","Native Native 1",28,"spillover1","tt","spillover1 tt",8,0,1209,1209,"Unambiguous","Inconsistent"
"24985","Native","Native Native 1",31,"spillover1","tt","spillover1 tt",7,0,2392,2392,"Ambiguous","Inconsistent"
"24987","Native","Native Native 1",45,"spillover1","tt","spillover1 tt",5,0,831,831,"Ambiguous","Consistent"
"24989","Native","Native Native 1",25,"spillover1","tt","spillover1 tt",5,0,1897,1897,"Ambiguous","Consistent"
"24991","Native","Native Native 1",41,"spillover1","tt","spillover1 tt",5,0,1572,1572,"Ambiguous","Consistent"
"24993","Native","Native Native 1",42,"spillover1","tt","spillover1 tt",6,0,739,739,"Unambiguous","Consistent"
"24995","Native","Native Native 1",37,"spillover1","tt","spillover1 tt",5,0,963,963,"Ambiguous","Consistent"
"24997","Native","Native Native 1",32,"spillover1","tt","spillover1 tt",8,0,1787,1787,"Unambiguous","Inconsistent"
"24999","Native","Native Native 1",48,"spillover1","tt","spillover1 tt",8,0,620,620,"Unambiguous","Inconsistent"
"25001","Native","Native Native 1",47,"spillover1","tt","spillover1 tt",7,0,1328,1328,"Ambiguous","Inconsistent"
"25003","Native","Native Native 1",44,"spillover1","tt","spillover1 tt",8,0,1380,1380,"Unambiguous","Inconsistent"
"25005","Native","Native Native 1",27,"spillover1","tt","spillover1 tt",7,0,3238,3238,"Ambiguous","Inconsistent"
"25007","Native","Native Native 1",35,"spillover1","tt","spillover1 tt",7,0,1982,1982,"Ambiguous","Inconsistent"
"25009","Native","Native Native 2",46,"spillover1","tt","spillover1 tt",7,0,3726,3726,"Ambiguous","Inconsistent"
"25011","Native","Native Native 2",25,"spillover1","tt","spillover1 tt",6,0,305,305,"Unambiguous","Consistent"
"25013","Native","Native Native 2",39,"spillover1","tt","spillover1 tt",8,0,753,753,"Unambiguous","Inconsistent"
"25015","Native","Native Native 2",38,"spillover1","tt","spillover1 tt",7,0,1696,1696,"Ambiguous","Inconsistent"
"25017","Native","Native Native 2",30,"spillover1","tt","spillover1 tt",7,0,997,997,"Ambiguous","Inconsistent"
"25019","Native","Native Native 2",27,"spillover1","tt","spillover1 tt",8,0,1295,1295,"Unambiguous","Inconsistent"
"25021","Native","Native Native 2",29,"spillover1","tt","spillover1 tt",6,0,855,855,"Unambiguous","Consistent"
"25023","Native","Native Native 2",33,"spillover1","tt","spillover1 tt",6,0,295,295,"Unambiguous","Consistent"
"25025","Native","Native Native 2",32,"spillover1","tt","spillover1 tt",5,0,1992,1992,"Ambiguous","Consistent"
"25027","Native","Native Native 2",43,"spillover1","tt","spillover1 tt",8,0,1195,1195,"Unambiguous","Inconsistent"
"25029","Native","Native Native 2",45,"spillover1","tt","spillover1 tt",6,0,162,162,"Unambiguous","Consistent"
"25031","Native","Native Native 2",48,"spillover1","tt","spillover1 tt",5,0,576,576,"Ambiguous","Consistent"
"25033","Native","Native Native 2",47,"spillover1","tt","spillover1 tt",8,0,792,792,"Unambiguous","Inconsistent"
"25035","Native","Native Native 2",31,"spillover1","tt","spillover1 tt",8,0,1035,1035,"Unambiguous","Inconsistent"
"25037","Native","Native Native 2",26,"spillover1","tt","spillover1 tt",7,0,633,633,"Ambiguous","Inconsistent"
"25039","Native","Native Native 2",42,"spillover1","tt","spillover1 tt",7,0,754,754,"Ambiguous","Inconsistent"
"25041","Native","Native Native 2",36,"spillover1","tt","spillover1 tt",5,0,174,174,"Ambiguous","Consistent"
"25043","Native","Native Native 2",35,"spillover1","tt","spillover1 tt",8,0,348,348,"Unambiguous","Inconsistent"
"25045","Native","Native Native 2",44,"spillover1","tt","spillover1 tt",5,0,134,134,"Ambiguous","Consistent"
"25047","Native","Native Native 2",41,"spillover1","tt","spillover1 tt",6,0,437,437,"Unambiguous","Consistent"
"25049","Native","Native Native 2",37,"spillover1","tt","spillover1 tt",6,0,338,338,"Unambiguous","Consistent"
"25051","Native","Native Native 2",40,"spillover1","tt","spillover1 tt",5,0,256,256,"Ambiguous","Consistent"
"25053","Native","Native Native 2",28,"spillover1","tt","spillover1 tt",5,0,1253,1253,"Ambiguous","Consistent"
"25055","Native","Native Native 2",34,"spillover1","tt","spillover1 tt",7,0,200,200,"Ambiguous","Inconsistent"
"25058","Native","Native Native 3",34,"spillover1","tt","spillover1 tt",8,0,335,335,"Unambiguous","Inconsistent"
"25060","Native","Native Native 3",30,"spillover1","tt","spillover1 tt",8,0,2142,2142,"Unambiguous","Inconsistent"
"25062","Native","Native Native 3",38,"spillover1","tt","spillover1 tt",8,0,971,971,"Unambiguous","Inconsistent"
"25064","Native","Native Native 3",43,"spillover1","tt","spillover1 tt",5,0,2709,2709,"Ambiguous","Consistent"
"25066","Native","Native Native 3",47,"spillover1","tt","spillover1 tt",5,0,1662,1662,"Ambiguous","Consistent"
"25068","Native","Native Native 3",25,"spillover1","tt","spillover1 tt",7,0,2679,2679,"Ambiguous","Inconsistent"
"25070","Native","Native Native 3",37,"spillover1","tt","spillover1 tt",7,0,2293,2293,"Ambiguous","Inconsistent"
"25072","Native","Native Native 3",40,"spillover1","tt","spillover1 tt",6,0,1827,1827,"Unambiguous","Consistent"
"25074","Native","Native Native 3",42,"spillover1","tt","spillover1 tt",8,0,149,149,"Unambiguous","Inconsistent"
"25076","Native","Native Native 3",33,"spillover1","tt","spillover1 tt",7,0,748,748,"Ambiguous","Inconsistent"
"25078","Native","Native Native 3",39,"spillover1","tt","spillover1 tt",5,0,1689,1689,"Ambiguous","Consistent"
"25080","Native","Native Native 3",41,"spillover1","tt","spillover1 tt",7,0,1097,1097,"Ambiguous","Inconsistent"
"25082","Native","Native Native 3",27,"spillover1","tt","spillover1 tt",5,0,2021,2021,"Ambiguous","Consistent"
"25084","Native","Native Native 3",29,"spillover1","tt","spillover1 tt",7,0,1498,1498,"Ambiguous","Inconsistent"
"25086","Native","Native Native 3",46,"spillover1","tt","spillover1 tt",8,0,1193,1193,"Unambiguous","Inconsistent"
"25088","Native","Native Native 3",28,"spillover1","tt","spillover1 tt",6,0,871,871,"Unambiguous","Consistent"
"25090","Native","Native Native 3",35,"spillover1","tt","spillover1 tt",5,0,1806,1806,"Ambiguous","Consistent"
